Death Penalty Status,Murder Rate,Number of Records,Region,State,Year
Death Penalty,5.44,1,South,Arkansas,1/1/2011
Death Penalty,5.29,1,South,Delaware,1/1/2011
Death Penalty,5.16,1,South,Florida,1/1/2011
Death Penalty,5.59,1,South,Georgia,1/1/2011
Death Penalty,3.46,1,South,Kentucky,1/1/2011
Death Penalty,11.06,1,South,Louisiana,1/1/2011
Death Penalty,6.83,1,South,Maryland,1/1/2011
Death Penalty,7.79,1,South,Mississippi,1/1/2011
Death Penalty,5.16,1,South,North Carolina,1/1/2011
Death Penalty,5.6,1,South,Oklahoma,1/1/2011
Death Penalty,6.85,1,South,South Carolina,1/1/2011
Death Penalty,5.94,1,South,Tennessee,1/1/2011
Death Penalty,4.41,1,South,Texas,1/1/2011
Death Penalty,3.75,1,South,Virginia,1/1/2011
Death Penalty,7.1,1,South,Alabama,1/1/2012
Death Penalty,5.9,1,South,Arkansas,1/1/2012
Death Penalty,6.11,1,South,Delaware,1/1/2012
Death Penalty,5.22,1,South,Florida,1/1/2012
Death Penalty,5.88,1,South,Georgia,1/1/2012
Death Penalty,4.59,1,South,Kentucky,1/1/2012
Death Penalty,10.63,1,South,Louisiana,1/1/2012
Death Penalty,6.34,1,South,Maryland,1/1/2012
Death Penalty,7.13,1,South,Mississippi,1/1/2012
Death Penalty,4.91,1,South,North Carolina,1/1/2012
Death Penalty,5.77,1,South,Oklahoma,1/1/2012
Death Penalty,7.03,1,South,South Carolina,1/1/2012
Death Penalty,6.2,1,South,Tennessee,1/1/2012
Death Penalty,4.41,1,South,Texas,1/1/2012
Death Penalty,3.93,1,South,Virginia,1/1/2012
Death Penalty,7.16,1,South,Alabama,1/1/2013
Death Penalty,5.34,1,South,Arkansas,1/1/2013
Death Penalty,4.43,1,South,Delaware,1/1/2013
Death Penalty,4.96,1,South,Florida,1/1/2013
Death Penalty,5.63,1,South,Georgia,1/1/2013
Death Penalty,3.91,1,South,Kentucky,1/1/2013
Death Penalty,10.67,1,South,Louisiana,1/1/2013
Death Penalty,7.25,1,South,Mississippi,1/1/2013
Death Penalty,4.7,1,South,North Carolina,1/1/2013
Death Penalty,5.14,1,South,Oklahoma,1/1/2013
Death Penalty,6.39,1,South,South Carolina,1/1/2013
Death Penalty,5.16,1,South,Tennessee,1/1/2013
Death Penalty,4.3,1,South,Texas,1/1/2013
Death Penalty,3.87,1,South,Virginia,1/1/2013
Death Penalty,5.69,1,South,Alabama,1/1/2014
Death Penalty,5.56,1,South,Arkansas,1/1/2014
Death Penalty,5.77,1,South,Delaware,1/1/2014
Death Penalty,5.78,1,South,Florida,1/1/2014
Death Penalty,5.74,1,South,Georgia,1/1/2014
Death Penalty,3.63,1,South,Kentucky,1/1/2014
Death Penalty,10.26,1,South,Louisiana,1/1/2014
Death Penalty,8.62,1,South,Mississippi,1/1/2014
Death Penalty,5.13,1,South,North Carolina,1/1/2014
Death Penalty,4.51,1,South,Oklahoma,1/1/2014
Death Penalty,6.44,1,South,South Carolina,1/1/2014
Death Penalty,5.66,1,South,Tennessee,1/1/2014
Death Penalty,4.39,1,South,Texas,1/1/2014
Death Penalty,4.06,1,South,Virginia,1/1/2014
Death Penalty,7.17,1,South,Alabama,1/1/2015
Death Penalty,6.35,1,South,Arkansas,1/1/2015
Death Penalty,6.57,1,South,Delaware,1/1/2015
Death Penalty,5.14,1,South,Florida,1/1/2015
Death Penalty,6.1,1,South,Georgia,1/1/2015
Death Penalty,4.95,1,South,Kentucky,1/1/2015
Death Penalty,10.54,1,South,Louisiana,1/1/2015
Death Penalty,8.46,1,South,Mississippi,1/1/2015
Death Penalty,5.15,1,South,North Carolina,1/1/2015
Death Penalty,6.14,1,South,Oklahoma,1/1/2015
Death Penalty,8.31,1,South,South Carolina,1/1/2015
Death Penalty,6.34,1,South,Tennessee,1/1/2015
Death Penalty,4.8,1,South,Texas,1/1/2015
Death Penalty,4.66,1,South,Virginia,1/1/2015
Death Penalty,8.37,1,South,Alabama,1/1/2016
Death Penalty,7.26,1,South,Arkansas,1/1/2016
Death Penalty,5.38,1,South,Florida,1/1/2016
Death Penalty,6.61,1,South,Georgia,1/1/2016
Death Penalty,5.97,1,South,Kentucky,1/1/2016
Death Penalty,11.84,1,South,Louisiana,1/1/2016
Death Penalty,7.94,1,South,Mississippi,1/1/2016
Death Penalty,6.68,1,South,North Carolina,1/1/2016
Death Penalty,6.3,1,South,Oklahoma,1/1/2016
Death Penalty,7.22,1,South,South Carolina,1/1/2016
Death Penalty,7.44,1,South,Tennessee,1/1/2016
Death Penalty,5.3,1,South,Texas,1/1/2016
Death Penalty,5.73,1,South,Virginia,1/1/2016
Death Penalty,8.29,1,South,Alabama,1/1/2017
Death Penalty,8.59,1,South,Arkansas,1/1/2017
Death Penalty,5.04,1,South,Florida,1/1/2017
Death Penalty,6.74,1,South,Georgia,1/1/2017
Death Penalty,5.9,1,South,Kentucky,1/1/2017
Death Penalty,12.42,1,South,Louisiana,1/1/2017
Death Penalty,8.21,1,South,Mississippi,1/1/2017
Death Penalty,5.75,1,South,North Carolina,1/1/2017
Death Penalty,6.16,1,South,Oklahoma,1/1/2017
Death Penalty,7.76,1,South,South Carolina,1/1/2017
Death Penalty,7.85,1,South,Tennessee,1/1/2017
Death Penalty,4.99,1,South,Texas,1/1/2017
Death Penalty,5.35,1,South,Virginia,1/1/2017
Death Penalty,6.86,1,West,New Mexico,1/1/2006
Death Penalty,2.38,1,West,Oregon,1/1/2006
Death Penalty,2,1,West,Utah,1/1/2006
Death Penalty,3.08,1,West,Washington,1/1/2006
Death Penalty,2.52,1,West,Wyoming,1/1/2006
Death Penalty,8.65,1,West,Arizona,1/1/2007
Death Penalty,6.19,1,West,California,1/1/2007
Death Penalty,3.19,1,West,Colorado,1/1/2007
Death Penalty,3.27,1,West,Idaho,1/1/2007
Death Penalty,2.82,1,West,Montana,1/1/2007
Death Penalty,7.52,1,West,Nevada,1/1/2007
Death Penalty,9.29,1,West,New Mexico,1/1/2007
Death Penalty,2.03,1,West,Oregon,1/1/2007
Death Penalty,2.23,1,West,Utah,1/1/2007
Death Penalty,2.69,1,West,Washington,1/1/2007
Death Penalty,4.02,1,West,Wyoming,1/1/2007
Death Penalty,7.11,1,West,Arizona,1/1/2008
Death Penalty,5.83,1,West,California,1/1/2008
Death Penalty,3.34,1,West,Colorado,1/1/2008
Death Penalty,1.51,1,West,Idaho,1/1/2008
Death Penalty,4.13,1,West,Montana,1/1/2008
Death Penalty,6.35,1,West,Nevada,1/1/2008
Death Penalty,8.11,1,West,New Mexico,1/1/2008
Death Penalty,2.3,1,West,Oregon,1/1/2008
Death Penalty,1.5,1,West,Utah,1/1/2008
Death Penalty,2.95,1,West,Washington,1/1/2008
Death Penalty,2.25,1,West,Wyoming,1/1/2008
Death Penalty,5.76,1,West,Arizona,1/1/2009
Death Penalty,5.34,1,West,California,1/1/2009
Death Penalty,3.16,1,West,Colorado,1/1/2009
Death Penalty,1.55,1,West,Idaho,1/1/2009
Death Penalty,3.28,1,West,Montana,1/1/2009
Death Penalty,5.9,1,West,Nevada,1/1/2009
