Death Penalty Status,Murder Rate,Number of Records,Region,State,Year
No Death Penalty,1.28,1,Northeast,Vermont,1/1/2012
No Death Penalty,2.53,1,Northeast,Connecticut,1/1/2013
No Death Penalty,1.81,1,Northeast,Maine,1/1/2013
No Death Penalty,2.06,1,Northeast,Massachusetts,1/1/2013
No Death Penalty,4.53,1,Northeast,New Jersey,1/1/2013
No Death Penalty,3.27,1,Northeast,New York,1/1/2013
No Death Penalty,2.94,1,Northeast,Rhode Island,1/1/2013
No Death Penalty,1.6,1,Northeast,Vermont,1/1/2013
No Death Penalty,2.39,1,Northeast,Connecticut,1/1/2014
No Death Penalty,1.58,1,Northeast,Maine,1/1/2014
No Death Penalty,1.96,1,Northeast,Massachusetts,1/1/2014
No Death Penalty,3.9,1,Northeast,New Jersey,1/1/2014
No Death Penalty,3.12,1,Northeast,New York,1/1/2014
No Death Penalty,2.37,1,Northeast,Rhode Island,1/1/2014
No Death Penalty,1.6,1,Northeast,Vermont,1/1/2014
No Death Penalty,3.24,1,Northeast,Connecticut,1/1/2015
No Death Penalty,1.73,1,Northeast,Maine,1/1/2015
No Death Penalty,1.93,1,Northeast,Massachusetts,1/1/2015
No Death Penalty,4.06,1,Northeast,New Jersey,1/1/2015
No Death Penalty,3.1,1,Northeast,New York,1/1/2015
No Death Penalty,2.94,1,Northeast,Rhode Island,1/1/2015
No Death Penalty,1.6,1,Northeast,Vermont,1/1/2015
No Death Penalty,2.2,1,Northeast,Connecticut,1/1/2016
No Death Penalty,1.5,1,Northeast,Maine,1/1/2016
No Death Penalty,1.98,1,Northeast,Massachusetts,1/1/2016
No Death Penalty,4.21,1,Northeast,New Jersey,1/1/2016
No Death Penalty,3.17,1,Northeast,New York,1/1/2016
No Death Penalty,2.74,1,Northeast,Rhode Island,1/1/2016
No Death Penalty,2.25,1,Northeast,Vermont,1/1/2016
No Death Penalty,2.84,1,Northeast,Connecticut,1/1/2017
No Death Penalty,1.72,1,Northeast,Maine,1/1/2017
No Death Penalty,2.52,1,Northeast,Massachusetts,1/1/2017
No Death Penalty,3.6,1,Northeast,New Jersey,1/1/2017
No Death Penalty,2.76,1,Northeast,New York,1/1/2017
No Death Penalty,1.89,1,Northeast,Rhode Island,1/1/2017
No Death Penalty,2.24,1,Northeast,Vermont,1/1/2017
No Death Penalty,4.4,1,South,West Virginia,1/1/2006
No Death Penalty,3.59,1,South,West Virginia,1/1/2007
No Death Penalty,3.69,1,South,West Virginia,1/1/2008
No Death Penalty,4.62,1,South,West Virginia,1/1/2009
No Death Penalty,3.13,1,South,West Virginia,1/1/2010
No Death Penalty,4.69,1,South,West Virginia,1/1/2011
No Death Penalty,3.77,1,South,West Virginia,1/1/2012
No Death Penalty,6.47,1,South,Maryland,1/1/2013
No Death Penalty,3.34,1,South,West Virginia,1/1/2013
No Death Penalty,6.11,1,South,Maryland,1/1/2014
No Death Penalty,4,1,South,West Virginia,1/1/2014
No Death Penalty,8.97,1,South,Maryland,1/1/2015
No Death Penalty,4.62,1,South,West Virginia,1/1/2015
No Death Penalty,6.09,1,South,Delaware,1/1/2016
No Death Penalty,8.9,1,South,Maryland,1/1/2016
No Death Penalty,4.65,1,South,West Virginia,1/1/2016
No Death Penalty,5.61,1,South,Delaware,1/1/2017
No Death Penalty,9.02,1,South,Maryland,1/1/2017
No Death Penalty,4.68,1,South,West Virginia,1/1/2017
No Death Penalty,6.29,1,West,Alaska,1/1/2007
No Death Penalty,1.87,1,West,Hawaii,1/1/2007
No Death Penalty,3.93,1,West,Alaska,1/1/2008
No Death Penalty,2.02,1,West,Hawaii,1/1/2008
No Death Penalty,3.15,1,West,Alaska,1/1/2009
No Death Penalty,1.78,1,West,Hawaii,1/1/2009
No Death Penalty,9.85,1,West,New Mexico,1/1/2009
No Death Penalty,4.34,1,West,Alaska,1/1/2010
No Death Penalty,1.83,1,West,Hawaii,1/1/2010
No Death Penalty,6.78,1,West,New Mexico,1/1/2010
No Death Penalty,4.14,1,West,Alaska,1/1/2011
No Death Penalty,1.45,1,West,Hawaii,1/1/2011
No Death Penalty,7.6,1,West,New Mexico,1/1/2011
No Death Penalty,4.11,1,West,Alaska,1/1/2012
No Death Penalty,1.51,1,West,Hawaii,1/1/2012
No Death Penalty,5.57,1,West,New Mexico,1/1/2012
No Death Penalty,4.61,1,West,Alaska,1/1/2013
No Death Penalty,2.27,1,West,Hawaii,1/1/2013
No Death Penalty,5.89,1,West,New Mexico,1/1/2013
No Death Penalty,5.57,1,West,Alaska,1/1/2014
No Death Penalty,1.83,1,West,Hawaii,1/1/2014
No Death Penalty,4.84,1,West,New Mexico,1/1/2014
No Death Penalty,8,1,West,Alaska,1/1/2015
No Death Penalty,2.03,1,West,Hawaii,1/1/2015
No Death Penalty,5.62,1,West,New Mexico,1/1/2015
No Death Penalty,7.01,1,West,Alaska,1/1/2016
No Death Penalty,2.45,1,West,Hawaii,1/1/2016
No Death Penalty,6.67,1,West,New Mexico,1/1/2016
No Death Penalty,8.38,1,West,Alaska,1/1/2017
No Death Penalty,2.73,1,West,Hawaii,1/1/2017
No Death Penalty,7.09,1,West,New Mexico,1/1/2017
