,State,Year,Unknown,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99
238,MA,1999,0,1,2,17,10,3,2,1,0,0,0
239,MA,2000,4,1,3,13,19,5,3,1,0,0,0
240,MA,2001,6,3,11,22,5,7,3,1,0,0,0
241,MA,2002,4,3,15,14,7,10,5,1,2,0,0
242,MA,2003,1,2,4,23,14,12,2,4,0,1,0
243,MA,2004,1,4,12,35,13,14,4,4,1,1,0
244,MA,2005,5,0,8,41,19,7,4,4,0,2,0
245,MA,2006,3,4,7,29,20,8,6,4,1,0,0
246,MA,2007,1,8,16,35,18,12,7,6,2,0,0
247,MA,2008,2,2,15,29,21,15,8,3,0,0,0
248,MA,2009,1,6,12,41,22,13,2,5,2,3,0
249,MA,2010,1,6,17,49,19,18,10,5,4,1,0
250,MA,2011,0,4,10,39,17,12,14,9,0,1,1
251,MA,2012,2,1,6,14,17,7,7,1,1,3,0
252,MA,2013,1,6,6,30,22,11,8,4,3,4,0
253,MA,2014,1,0,8,25,18,10,7,4,1,1,0
254,MA,2015,0,2,12,30,21,5,10,3,4,0,0
255,MA,2016,0,0,4,30,17,9,8,1,4,4,2
256,MA,2017,0,1,6,29,31,15,9,6,1,5,0
257,MD,2017,1,0,4,5,0,1,0,1,0,1,0
258,ME,2006,0,1,1,0,0,0,0,0,0,0,0
259,ME,2007,0,0,0,0,1,0,1,1,0,0,0
260,ME,2008,0,0,1,1,1,4,1,1,1,0,0
261,ME,2009,0,0,0,1,1,0,2,0,0,0,0
262,ME,2010,0,0,0,1,1,0,0,0,0,0,0
263,ME,2011,0,0,0,2,2,1,0,0,0,0,0
264,ME,2012,0,0,0,1,0,1,1,1,1,0,1
265,ME,2013,0,0,0,1,0,0,0,0,0,0,0
266,ME,2014,0,3,1,0,2,0,0,0,0,0,1
267,ME,2015,0,0,0,2,2,0,1,0,0,0,0
268,ME,2016,0,0,0,0,2,0,0,1,0,0,0
269,ME,2017,0,0,0,1,0,0,3,0,0,0,0
