,State,Origin,Agency Name,Agency Type Name,State Abbr,Division Name,Region Name,Region Desc,County Name,NIBRS,Latitude,Longitude,NIBRS Start Date
7205,MI,MI4404400,State Police: Lapeer County,State Police,MI,East North Central,Midwest,Region II,LAPEER,True,43.04259,-83.3203,01/01/1998
7206,MI,MI4414400,Lapeer County Sheriff's Office,County,MI,East North Central,Midwest,Region II,LAPEER,True,43.034912,-83.352104,01/01/1995
7207,MI,MI4421400,Almont Police Department,City,MI,East North Central,Midwest,Region II,LAPEER,True,42.928436,-83.045616,01/01/1995
7208,MI,MI4435600,Dryden Township Police Department,City,MI,East North Central,Midwest,Region II,LAPEER,True,43.088633,-83.224325,01/01/1995
7209,MI,MI4448800,Imlay City Police Department,City,MI,East North Central,Midwest,Region II,LAPEER,True,43.024063,-83.073044,01/01/1995
7210,MI,MI4452000,Lapeer Police Department,City,MI,East North Central,Midwest,Region II,LAPEER,True,43.050514,-83.33208,01/01/1995
7211,MI,MI4457800,Metamora Township Police Department,City,MI,East North Central,Midwest,Region II,LAPEER,True,42.94418,-83.304245,01/01/2001
7212,MI,MI4487600,Lapeer Township Police Department,City,MI,East North Central,Midwest,Region II,LAPEER,True,43.014977,-83.282646,11/01/2001
7213,MI,MI4504500,State Police: Leelanau County,State Police,MI,East North Central,Midwest,Region II,LEELANAU,True,45.146182,-86.051574,01/01/1998
7214,MI,MI4514500,Leelanau County Sheriff's Office,County,MI,East North Central,Midwest,Region II,LEELANAU,True,45.146182,-86.051574,08/01/1995
7215,MI,MI4596900,Grand Traverse Tribal,Tribal,MI,East North Central,Midwest,Region II,,False,45.146182,-86.051574,
7216,MI,MI4604600,State Police: Lenawee County,State Police,MI,East North Central,Midwest,Region II,LENAWEE,True,41.91446,-84.02544,01/01/1998
7217,MI,MI4614600,Lenawee County Sheriff's Office,County,MI,East North Central,Midwest,Region II,LENAWEE,True,41.902657,-84.03566,01/01/1995
7218,MI,MI4620200,Adrian Police Department,City,MI,East North Central,Midwest,Region II,LENAWEE,True,41.89758,-84.03746,01/01/1998
7219,MI,MI4620300,Adrian Township Police Department,City,MI,East North Central,Midwest,Region II,LENAWEE,True,41.925415,-84.06494,01/01/2003
7220,MI,MI4626000,Blissfield Police Department,City,MI,East North Central,Midwest,Region II,LENAWEE,True,41.895915,-84.066853,01/01/1995
7221,MI,MI4632000,Clinton Police Department,City,MI,East North Central,Midwest,Region II,LENAWEE,True,41.895915,-84.066853,01/01/1995
7222,MI,MI4648500,Hudson Police Department,City,MI,East North Central,Midwest,Region II,LENAWEE,True,41.895915,-84.066853,01/01/1995
7223,MI,MI4659400,Morenci Police Department,City,MI,East North Central,Midwest,Region II,LENAWEE,True,41.7185,-84.21696,01/01/2000
7224,MI,MI4668900,Raisin Township Police Department,City,MI,East North Central,Midwest,Region II,LENAWEE,True,41.969162,-83.9654,07/01/2001
7225,MI,MI4677600,Tecumseh Police Department,City,MI,East North Central,Midwest,Region II,LENAWEE,True,42.004158,-83.9417,01/01/1995
7226,MI,MI4693100,Cambridge Township Police Department,City,MI,East North Central,Midwest,Region II,LENAWEE,True,42.008884,-84.18841,01/01/1995
7227,MI,MI4693500,Madison Township Police Department,City,MI,East North Central,Midwest,Region II,LENAWEE,True,41.86011,-84.0427,11/01/2000
7228,MI,MI4704700,State Police: Livingston County,State Police,MI,East North Central,Midwest,Region II,LIVINGSTON,True,42.5333,-83.75641,01/01/1998
7229,MI,MI4714700,Livingston County Sheriff's Office,County,MI,East North Central,Midwest,Region II,LIVINGSTON,True,42.612854,-83.95397,01/01/1995
