State,Year,Acquaintance,Babysittee,Boyfriend or Girlfriend,Child of Boyfriend or Girlfriend,Child,Common Law Spouse,Employee,Employer,Friend,Grandchild,Grandparent,Homosexual Relationship,In-Law,Neighbor,Other Family Member,Otherwise Known,Parent,Unknown,Sibling,Stepchild,Spouse,Stepparent,Stepsibling,Stranger,Offender,Ex-Spouse
ME,2011,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ME,2012,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
ME,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,2014,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ME,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
ME,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ME,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
MI,2007,93,1,24,1,18,0,1,4,14,0,0,1,3,6,5,52,7,453,7,1,21,1,1,86,2,4
MI,2008,70,2,12,3,13,2,0,0,11,1,2,0,0,2,12,15,8,271,5,1,13,0,2,60,0,2
MI,2009,91,2,24,3,14,2,1,0,10,1,1,1,1,7,10,32,11,294,16,3,20,1,0,57,0,0
MI,2010,109,2,21,3,12,3,0,2,15,1,2,0,1,3,8,32,11,194,3,3,13,1,1,61,0,2
MI,2011,89,0,15,3,18,3,0,1,16,0,1,1,1,9,5,31,8,195,3,1,16,1,0,75,0,3
MI,2012,113,2,16,5,19,2,0,1,13,1,0,0,0,4,4,46,8,230,7,0,16,2,0,73,0,1
MI,2013,112,1,17,2,22,2,0,0,20,0,1,0,1,1,8,47,7,178,7,0,21,1,1,92,0,1
MI,2014,82,1,25,2,16,2,0,0,20,1,0,3,3,10,9,41,14,248,7,1,14,2,0,46,0,1
MI,2015,53,1,23,6,28,2,0,0,13,0,4,0,2,2,10,48,6,277,3,3,21,0,1,39,2,2
MI,2016,63,0,12,5,16,1,0,1,14,0,1,1,3,7,10,42,9,235,8,4,22,2,0,46,0,0
MI,2017,60,1,17,2,16,1,0,0,20,0,2,0,2,11,8,54,9,292,1,2,14,2,0,31,0,0
MN,2017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
MO,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0
MO,2010,8,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,159,0,0,2,0,0,3,1,0
MO,2011,5,0,6,0,0,1,0,0,0,0,0,0,1,0,2,1,1,146,1,0,2,0,0,8,4,0
MO,2012,5,0,5,3,1,0,0,0,1,0,0,0,0,0,1,3,0,151,0,0,5,0,0,2,6,0
MO,2013,6,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,150,0,0,3,0,0,2,1,0
MO,2014,5,0,1,0,1,0,0,0,1,0,0,0,0,2,0,2,0,130,0,1,1,0,0,5,1,0
MO,2015,3,2,1,0,3,0,0,0,2,0,0,0,0,1,2,7,0,184,1,0,1,1,0,2,0,0
MO,2016,2,1,3,0,2,0,0,0,1,0,0,0,0,1,1,1,2,191,1,0,2,0,0,1,0,0
MO,2017,11,0,5,0,2,0,0,0,1,0,0,0,0,0,0,1,2,183,1,0,2,0,0,2,1,0
MS,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
MS,2010,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,4,0,0
MS,2011,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,0,1,0,0,6,0,0
MS,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0
MS,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,0,0,0,0
MS,2014,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
MS,2015,5,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,2,0,1,0,0,1,1,0
MS,2016,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,9,0,0,0,0,0,1,0,0
MS,2017,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,2,0,0,0,0,0
MT,2007,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,3,0,0,2,0,0
MT,2008,1,1,8,0,2,1,0,0,3,0,0,0,0,0,1,0,3,4,2,1,0,0,0,1,0,0
